idea,descripcion,edad minima,edad maxima,nivel dificuldad,componentes
El Equilibrista Estrella,"¡El público te observa! Eres el equilibrista en la cuerda floja. Mantén la línea recta en la pantalla. El viento soplará (el juego se hace más difícil), y tendrás que inclinarte para compensar. Si caes, oirás risas de payasos.",8,12,2,"Audio Player, Inclination, LED Matrix"
El Comunicador Secreto de Espías,Estás en una misión silenciosa. No puedes hablar. Usa tu dispositivo para enviar mensajes a tu equipo. Inclina arriba para mostrar un 'Pulgar Arriba' y decir 'Afirmativo'. Inclina abajo para 'Negativo'. ¡Comunícate sin abrir la boca!,9,13,2,"Audio Player, Inclination, LED Matrix"
El Chamán de la Lluvia,"Invoca la lluvia para la selva. Gira lentamente tu bastón mágico (dispositivo). Verás las gotas de agua caer por la pantalla. Cuanto más vertical lo pongas, más fuerte caerá la tormenta y más fuerte sonará el aguacero.",6,10,1,"Audio Player, Inclination, LED Matrix"
Defensores del Castillo,¡Carga la catapulta! Inclina hacia atrás lentamente para tensar la cuerda (escucha el 'criiiiic' y mira la barra de fuerza). ¡Ahora lanza! Inclina rápido hacia adelante para disparar la roca virtual contra los invasores.,8,12,2,"Audio Player, Inclination, LED Matrix"
Buscador de Tesoros a Ciegas,"Hay un tesoro invisible enterrado cerca. Usa tu detector. Inclina el dispositivo explorando direcciones. Si el sonido es lento 'bip... bip', estás frío. Si se acelera 'bip-bip-bip', ¡estás muy cerca! La luz te guiará al punto exacto.",10,14,3,"Audio Player, Inclination, LED Matrix"
El Guardián de los Sueños,¡Construye una máquina inteligente que sabe cuándo es hora de dormir! Los estudiantes programarán una 'caja de sueños' que solo activa su magia cuando las luces se apagan y la caja está perfectamente quieta y plana. Aprenderán a usar operadores lógicos 'Y' (AND) para asegurar que se cumplan dos condiciones antes de activar la recompensa sonora.,10,12,2,"Audio Player, Inclination, Light Intensity"
La Varita del Director de Orquesta,Conviértete en un director de orquesta futurista. Los estudiantes crearán un instrumento que cambia de canción al mover la mano (inclinación) y controla el volumen mágicamente acercando la mano al sensor de luz. Es un desafío excelente para entender el mapeo de variables continuas (luz) a propiedades de salida (volumen).,11,14,3,"Audio Player, Inclination, Light Intensity"
Expedición a la Cueva Misteriosa,"¡Atrapados en la oscuridad! Los estudiantes deben programar un juego donde el jugador debe esconder el dispositivo (oscuridad) para entrar al juego. Luego, inclinando el dispositivo, deben 'navegar' por túneles sonoros. Si entra luz, el juego se pausa porque 'el sol ha salido'. Introduce el concepto de estados del juego basados en sensores ambientales.",9,12,2,"Audio Player, Inclination, Light Intensity"
El Desafío del Agente Secreto,Eres un espía intentando abrir una bóveda digital. Los estudiantes programarán un candado lógico que requiere precisión: el dispositivo debe estar inclinado exactamente a 45 grados Y recibir una luz brillante al mismo tiempo para liberar el mensaje secreto. Enseña precisión en condicionales y rangos de valores.,12,15,3,"Audio Player, Inclination, Light Intensity"
Tu Monstruito de Bolsillo,Crea una criatura que vive dentro del microcontrolador. Los estudiantes definen la personalidad del monstruo: ¿Le gusta la luz o la oscuridad? ¿Le gusta que lo mecen? Programarán reacciones emocionales a través de sonidos basándose en cómo tratan físicamente al dispositivo (luz y movimiento).,8,11,1,"Audio Player, Inclination, Light Intensity"
El Maestro Zen,"Diseña un compañero de relajación. Los estudiantes usarán el sensor de inclinación para detectar movimientos sutiles y la luz para verificar el ambiente. El desafío es crear un algoritmo que detecte la calma: luz baja y movimiento rítmico lento, recompensando al usuario con sonidos de la naturaleza.",13,16,3,"Audio Player, Inclination, Light Intensity"
Trampa para Ladrones de Mochilas,"¡Protege tus cosas! Los estudiantes programarán una alarma inteligente. La lógica es inversa a lo habitual: el estado seguro es oscuro y quieto. Si detecta luz (alguien abre la mochila) O movimiento (alguien se la lleva), ¡suena la alarma! Una gran lección sobre lógica booleana negativa y sistemas de seguridad.",10,13,2,"Audio Player, Inclination, Light Intensity"
Sintetizador Espacial,Crea música extraña y maravillosa moviendo el dispositivo en el aire. Los estudiantes mapearán el ángulo de inclinación a diferentes notas musicales y usarán la sombra de su mano para controlar el volumen. Explorarán conceptos de variables continuas y mapeo de datos de entrada a salida.,11,15,3,"Audio Player, Inclination, Light Intensity"
Cuentos de la Cripta Interactivos,Los estudiantes se convierten en escritores y programadores. Deben crear una historia ramificada (Elige tu propia aventura) que se narra por audio. La condición principal es que debe estar oscuro para funcionar. Usarán condicionales anidados para gestionar las diferentes ramas de la historia basadas en la inclinación del dispositivo.,10,14,2,"Audio Player, Inclination, Light Intensity"
El Entrenador Robot,"¡A moverse! Los estudiantes programan un dispositivo que cuenta ejercicios. Deben detectar una secuencia: comenzar de pie, inclinarse (bajar) y volver a la posición original, todo mientras se asegura que el dispositivo esté bien sujeto (sensor de luz cubierto). Introduce el concepto de máquinas de estados finitos (esperando -> bajando -> subiendo -> contado).",12,16,3,"Audio Player, Inclination, Light Intensity"
Piloto de Nave Espacial,"Los estudiantes simulan un alunizaje. El reto es mantener la nave nivelada (inclinación = 0) mientras la 'altitud' cambia. Usarán el audio para dar feedback: si se inclinan demasiado, suena una alarma de accidente. Si la luz es adecuada y están planos, suena el éxito del aterrizaje. Enseña control de retroalimentación.",10,13,2,"Audio Player, Inclination, Light Intensity"
El Plomero Detectivesco,"Crea un juego de búsqueda del tesoro. Los estudiantes esconden 'fugas' (zonas oscuras o sombreadas en una mesa) y programan el dispositivo para que actúe como un escáner. Al pasar el dispositivo inclinado sobre la zona oscura, debe sonar el agua. Combina la exploración física con la lógica de sensores.",8,11,1,"Audio Player, Inclination, Light Intensity"
La Tarjeta Mágica de Cumpleaños,"¡Sorprende a tus amigos! Los estudiantes diseñarán una tarjeta que reacciona al abrirse. No solo toca música con la luz, sino que al inclinarla para leerla mejor, te habla. Aprenderán a anidar condiciones: Primero verificar si está abierta (Luz), luego verificar la posición (Inclinación) para decidir qué sonido reproducir.",9,12,1,"Audio Player, Inclination, Light Intensity"
Carrera de Motos GP,"Convierte tu dispositivo en una moto de carreras. Los estudiantes deben programar el acelerador usando la luz y el viraje usando la inclinación. El desafío es mezclar dos entradas simultáneas para generar una salida de audio dinámica (ruido de motor constante que varía con la luz, más ruidos de derrape al inclinar).",10,14,2,"Audio Player, Inclination, Light Intensity"
Navegador por Sonido,Diseña tecnología para ayudar a otros. Los estudiantes crearán un dispositivo que guía al usuario hacia la luz usando solo sonido. Es un reto de accesibilidad: ¿Cómo traducir la intensidad de la luz y la dirección del movimiento (inclinación) en pistas auditivas claras sin usar palabras?,12,16,3,"Audio Player, Inclination, Light Intensity"
Batería Invisible del Futuro,"¡Haz música sin tocar nada! Los estudiantes configuran el dispositivo para que un cambio rápido en la luz (un 'tap' en el aire) dispare un sonido de tambor. Usarán la inclinación para cambiar entre platillos, cajas y bombos. Requiere lógica para detectar cambios bruscos (flancos) en la señal de luz.",11,14,2,"Audio Player, Inclination, Light Intensity"
Papa Caliente Explosiva,"Un juego multijugador emocionante. Los estudiantes programan una 'bomba' sensible. Deben establecer límites estrictos: 'Si te inclinas más de 10 grados, ¡BOOM!' o 'Si tapas la luz, ¡BOOM!'. Es perfecto para entender operadores lógicos 'OR' (O) y umbrales de sensibilidad.",9,13,1,"Audio Player, Inclination, Light Intensity"
El Robot Emocional,"Dale vida y sentimientos a tu código. Los estudiantes definen qué combinaciones de sensores representan alegría, tristeza o miedo. Deben programar una matriz de decisiones que combine luz e inclinación para seleccionar el archivo de audio adecuado que exprese esa 'emoción'.",8,11,2,"Audio Player, Inclination, Light Intensity"
El Bibliotecario Inteligente,Crea un gadget para lectores. Los estudiantes programan un monitor de salud visual. La lógica debe detectar si el usuario está intentando leer (inclinación de lectura) pero en malas condiciones (poca luz). Es una aplicación práctica de la tecnología para el bienestar personal.,11,14,2,"Audio Player, Inclination, Light Intensity"
Cazadores de Espectros,¡Sal a cazar fantasmas! Los estudiantes crean un dispositivo que reacciona a cambios sutiles en el ambiente. Programarán el audio para que sea una estática constante que se rompe con 'voces' solo cuando los sensores detectan anomalías (cambios de luz o inclinaciones específicas). Fomenta la narrativa creativa y el ajuste fino de sensores.,10,13,2,"Audio Player, Inclination, Light Intensity"
DJ del Futuro: Mezcla con Movimiento,"¡Conviértete en un DJ que no necesita botones! Programa tu dispositivo para que al inclinarlo hacia adelante o atrás cambies la velocidad de la música, y al agitarlo lances efectos de sonido especiales para animar la fiesta.",10,14,2,"Audio Player, Inclination, Motion"
Piloto de Fórmula 1: Motor Rugiente,"Diseña el volante de un coche de carreras. Al girar el dispositivo (inclinar), el motor debe acelerar o desacelerar su sonido. Si agitas el dispositivo hacia adelante, ¡harás el cambio de marcha para ir más rápido!",9,12,2,"Audio Player, Inclination, Motion"
Escuela de Magia: Varita Encantada,Crea tu propia varita mágica. Debe emitir un sonido de energía suave cuando la sostienes en posición horizontal y lanzar un sonido de 'hechizo' explosivo solo cuando haces un movimiento rápido de muñeca.,8,11,1,"Audio Player, Inclination, Motion"
Guardián del Tesoro del Museo,"Protege el diamante más valioso del mundo. Programa el dispositivo para que esté en silencio total, pero si alguien intenta levantarlo (movimiento) o inclinarlo lo más mínimo, ¡debe sonar una alarma policial!",9,13,1,"Audio Player, Inclination, Motion"
Misión Rescate: El Huevo de Dragón,"Llevas un huevo de dragón en tu mochila. Debes caminar sin inclinarte demasiado o el huevo se romperá (sonido de crack). Si llegas a la meta y lo agitas suavemente, escucharás al dragón nacer.",8,11,2,"Audio Player, Inclination, Motion"
La Banda de Rock: Percusión Inteligente,"Construye un instrumento que cambie de sonido mágicamente. Si lo sostienes hacia arriba es una maraca, y si lo inclinas hacia abajo es una pandereta. ¡Agítalo al ritmo de la música para tocar!",10,14,2,"Audio Player, Inclination, Motion"
Maestro Zen: El Reto del Equilibrio,"Para meditar necesitas paz absoluta. Programa tu dispositivo para que reproduzca música relajante de flauta solo cuando lo sostengas completamente plano y quieto. Si te mueves, la música se detiene.",11,15,3,"Audio Player, Inclination, Motion"
Tu Propia Aventura: El Bosque Encantado,Crea un audiolibro interactivo. El narrador pregunta: '¿Izquierda o Derecha?'. Inclina el dispositivo para elegir el camino y agítalo para abrir la puerta secreta. ¡Los sonidos cambiarán según tu elección!,10,13,3,"Audio Player, Inclination, Motion"
Defensor Galáctico: Sable de Luz,"¡Convierte tu tablet en un sable de luz! Debe hacer el sonido de 'wom-wom' constante, cambiando el tono según cómo lo inclines, y hacer un sonido de choque fuerte ('krrrsch') si detecta un golpe brusco.",9,14,2,"Audio Player, Inclination, Motion"
El Gigante Camina: Efectos de Película,"Vamos a hacer los efectos de sonido para una película. Mete el dispositivo en tu bolsillo. Cada vez que des un paso fuerte, debe sonar como un T-Rex acercándose. Si te inclinas (subes una colina), el sonido cambia a cansancio.",10,13,2,"Audio Player, Inclination, Motion"
Aterrizaje Ciego en Marte,"La visibilidad es cero. Eres el piloto y debes aterrizar la nave escuchando solo los instrumentos. Mantén el dispositivo plano para que el motor suene estable; si te inclinas, sonará una alarma de '¡Peligro!' antes de estrellarte.",11,15,3,"Audio Player, Inclination, Motion"
Master Chef: El Volteo Perfecto,"¡A cocinar! Tu dispositivo es la sartén. Escucha cómo se fríe el huevo. Para ganar puntos, debes hacer el movimiento de 'saltear' (tirar hacia arriba) para escuchar el sonido de la comida volteándose en el aire.",8,11,1,"Audio Player, Inclination, Motion"
Cazafantasmas: El Escáner Espectral,"Hay un fantasma invisible en la habitación. Muévete e inclina el dispositivo como un radar. Cuando encuentres el ángulo correcto, la estática sonará fuerte. ¡Agita el dispositivo rápido para atraparlo!",9,12,2,"Audio Player, Inclination, Motion"
Constructor Ciego: La Repisa Perfecta,Ayuda a construir una casa sin mirar. Programa el dispositivo para que emita tonos agudos o graves según lo inclines. El objetivo es encontrar el silencio o un sonido de 'ding' cuando esté perfectamente recto y quieto.,12,16,3,"Audio Player, Inclination, Motion"
Fiesta de Baile: ¡Estatuas Musicales!,"¡A bailar! El dispositivo toca música funky mientras detecta que te mueves (bailas). Cuando la música pare, debes quedarte congelado como una estatua. Si te inclinas o mueves, ¡pierdes y suena una bocina!",8,12,2,"Audio Player, Inclination, Motion"
El Dios del Clima: Crea tu Tormenta,"Tienes el poder de controlar el clima. Inclina el dispositivo poco a poco para que empiece a llover suave y luego fuerte. ¡Cuando quieras asustar a todos, agítalo con fuerza para lanzar un trueno!",9,12,1,"Audio Player, Inclination, Motion"
La Granja Loca: ¿Qué animal eres?,"Si sostienes el dispositivo horizontal y lo agitas, suenas como un caballo galopando. Si lo pones vertical y saltas, suenas como un mono. ¡Programa tres animales diferentes según cómo muevas el aparato!",8,11,2,"Audio Player, Inclination, Motion"
Agente Especial: Operación Pulso de Acero,"¡La cuenta atrás ha comenzado! Tienes 10 segundos. Debes mantener el dispositivo exactamente a 45 grados sin que te tiemble la mano. Escucha el tic-tac... si te mueves, ¡BOOM!",11,15,3,"Audio Player, Inclination, Motion"
Avión de Papel Sónico,Lanza tu dispositivo (¡con cuidado y sin soltarlo!) como un avión de papel. El movimiento activa el sonido del viento. Inclínalo para planear y cambiar el sonido del aire cortando las alas.,9,12,2,"Audio Player, Inclination, Motion"
La Caja de Música Antigua,"Esta caja de música no tiene pilas. Debes girar el dispositivo en círculos (como dando cuerda) para cargarla. Luego, suéltalo y escucha la melodía hasta que se le acabe la energía y se detenga.",10,13,3,"Audio Player, Inclination, Motion"
DJ Motion: El Rey de la Pista,"Conviértete en un DJ futurista. Programa el dispositivo para que reproduzca una base rítmica de fondo. Si inclinas el dispositivo a la izquierda, debe sonar un bombo (Bass Drum), y si lo inclinas a la derecha, una caja (Snare Drum). ¡Crea tu propio remix moviendo tu cuerpo!",10,14,2,"Audio Player, Inclination, Musical Drum"
El Camarero Equilibrista,"Imagina que eres un camarero llevando una bandeja muy cara. Mientras mantienes el dispositivo plano, suena música elegante de restaurante. Si pierdes el equilibrio (inclinas el dispositivo), la música para y suena un estruendoso choque de platillos (Cymbal) indicando que se rompieron los platos.",8,12,1,"Audio Player, Inclination, Musical Drum"
El Mago de la Tormenta,"Crea una atmósfera de película. Configura el reproductor para que suene lluvia constante. Tu desafío es detectar cuando el dispositivo se inclina bruscamente hacia adelante para simular un trueno fuerte usando el tambor grave, asustando a tus amigos en el momento justo.",9,13,2,"Audio Player, Inclination, Musical Drum"
Rally Rítmico,"¡Estás en una carrera! La música rock de fondo es tu velocidad. Usa la inclinación para 'girar'. Si giras demasiado cerrado (inclinación alta), debes activar un sonido de redoble de batería rápido para simular las llantas derrapando sobre el asfalto.",10,15,2,"Audio Player, Inclination, Musical Drum"
Entrenador Personal Musical,"Diseña un asistente de gimnasio. Sujeta el dispositivo contra tu pecho. Mientras suena música energética, el programa debe detectar cuando te inclinas hacia adelante/abajo para hacer una sentadilla y tocar un bombo al bajar y una caja al subir para marcar el ritmo del ejercicio.",12,16,3,"Audio Player, Inclination, Musical Drum"
Escuela de Hechicería Digital,"Tu dispositivo es una varita mágica. Con música misteriosa de fondo, programa 'hechizos': inclinar hacia arriba lanza un 'hechizo de luz' (sonido de platillo suave), e inclinar hacia abajo lanza un 'hechizo de tierra' (tambor grave).",8,11,1,"Audio Player, Inclination, Musical Drum"
El Copiloto Despierto,"Simula un sistema de seguridad. El usuario escucha una radio suave (Audio Player). Si el sensor de inclinación detecta que la cabeza del conductor 'cae' hacia adelante (simulando quedarse dormido), el sistema debe despertar al usuario con una secuencia ruidosa de batería.",11,15,2,"Audio Player, Inclination, Musical Drum"
La Pandereta Virtual,"Acompaña a tu banda favorita. Mientras el Audio Player reproduce una canción pop, programa el dispositivo para que actúe como una pandereta. Cada vez que cambies rápidamente la inclinación (agitar), debe sonar un 'Hi-Hat' cerrado o abierto.",9,13,2,"Audio Player, Inclination, Musical Drum"
Caminando en el Cuento,"Crea una historia inmersiva. El audio narra: 'El gigante se acercaba...'. Para que la historia avance, el usuario debe simular los pasos del gigante inclinando el dispositivo de un lado a otro. Cada inclinación lateral debe producir un sonido de tambor profundo.",7,11,1,"Audio Player, Inclination, Musical Drum"
Simón Dice: ¡Muévete!,"Un juego de memoria y reacción. El audio dice '¡Izquierda!', y tienes 2 segundos para inclinar el dispositivo a la izquierda. Si lo haces bien, suena un redoble triunfal. Si fallas o tardas mucho, suena un golpe seco de error.",10,14,3,"Audio Player, Inclination, Musical Drum"
Piloto de Pruebas,"Programa un simulador de avión. El audio reproduce el zumbido de los motores. Mantén el avión nivelado. Si inclinas demasiado el morro hacia abajo (picada) o hacia arriba, activa sonidos de batería caóticos para simular que el avión está vibrando por la turbulencia.",11,15,2,"Audio Player, Inclination, Musical Drum"
La Caja de Música Antigua,"Recupera un objeto antiguo. Para que la música suene, el usuario debe girar el dispositivo suavemente en círculos (cambiando la inclinación X e Y). Si deja de moverlo, la música para. Agrega un sonido de 'clic' de percusión con cada vuelta completa para simular el mecanismo.",12,16,3,"Audio Player, Inclination, Musical Drum"
Pinball de Bolsillo,"Transforma tu dispositivo en una mesa de Pinball. Suena música retro de 8-bits. Usa la inclinación para guiar la bola imaginaria. Si haces un movimiento rápido hacia atrás (como usando un flipper), activa un sonido agudo de percusión para simular el golpe a la bola.",10,14,2,"Audio Player, Inclination, Musical Drum"
Metrónomo Humano,"Aprende sobre el ritmo. Programa el dispositivo para que detecte tu balanceo de izquierda a derecha. Cada vez que llegues al extremo del balanceo, el sistema debe tocar un golpe de batería, creando un ritmo constante sobre una melodía de fondo. ¡Tú controlas la velocidad de la canción!",11,15,3,"Audio Player, Inclination, Musical Drum"
¿Ratón o Elefante?,"Crea un disfraz sonoro. Si caminas (te inclinas) con pasos pequeños y rápidos, el sistema toca sonidos agudos (caja/platillo) como un ratón. Si das pasos grandes (inclinación amplia), tocas bombos pesados como un elefante. El audio de fondo es una selva.",8,12,2,"Audio Player, Inclination, Musical Drum"
Skater Profesional,"Convierte tu mano en un monopatín. Suena música enérgica. Si inclinas el dispositivo hacia atrás rápidamente, haces un 'Ollie' y debe sonar un golpe seco (Rimshot). Si lo mantienes inclinado lateralmente, es un 'Grind' y suena una repetición rápida de caja.",10,14,2,"Audio Player, Inclination, Musical Drum"
La Brújula del Ritmo,"Explora los estilos musicales. El audio reproduce una voz a capela. Si inclinas al Norte, añade un ritmo de Rock (batería fuerte). Al Sur, un ritmo de Jazz (platillos suaves). Este y Oeste añaden otros estilos. ¡Mezcla en vivo!",12,16,3,"Audio Player, Inclination, Musical Drum"
Estatuas Musicales Automáticas,"El clásico juego de fiesta, pero automatizado. Mientras te mueves (el sensor de inclinación cambia constantemente), la música suena. En el momento en que te quedas totalmente quieto (congelado), la música se corta y suena un golpe final de batería para marcar tu pose.",6,10,1,"Audio Player, Inclination, Musical Drum"
El Vaquero Solitario,¡Yi-ja! Pon una banda sonora del viejo oeste. Tu misión es simular el galope de tu caballo. Agita el dispositivo rítmicamente hacia arriba y abajo. Cada movimiento hacia abajo debe disparar un sonido de percusión de madera (Woodblock) para imitar los cascos del caballo.,8,12,1,"Audio Player, Inclination, Musical Drum"
Obras en la Ciudad,"Simula ser un trabajador de la construcción. El audio reproduce el bullicio de la ciudad. Cuando colocas el dispositivo verticalmente hacia abajo e inclinas un poco, activas el 'martillo neumático': una serie rapidísima de golpes de caja (Snare) que no para hasta que levantas el dispositivo.",9,13,2,"Audio Player, Inclination, Musical Drum"
El Hechicero de los Sonidos Espaciales,"¡Conviértete en un hechicero del espacio! Los estudiantes crearán un instrumento mágico invisible. Deberán programar el dispositivo para que, al inclinar su 'varita' (el dispositivo), cambie la magia del ambiente, y al pulsar las teclas, lancen hechizos sonoros. El objetivo es crear una melodía que suene como una película de ciencia ficción antigua.",10,14,2,"Audio Player, Inclination, Musical Keyboard"
Carrera de Autos Locos y Ruidosos,"Los estudiantes diseñarán el volante del futuro. Tendrán que programar el sonido del motor para que suene siempre, pero si giran (inclinan) el volante demasiado a la derecha o izquierda, el coche debe tocar una nota de advertencia en el teclado para no salirse de la pista. ¡Es una carrera contra el ruido!",8,11,1,"Audio Player, Inclination, Musical Keyboard"
El Arquitecto de la Torre Equilibrista,"¡La torre se va a caer! En este desafío, los estudiantes son arquitectos que deben mantener los cimientos rectos. Si su dispositivo se inclina, deben hacer sonar una alarma (teclado) urgentemente. Si logran mantenerlo perfectamente plano durante 10 segundos, suena una fanfarria de victoria desde el reproductor de audio.",9,12,2,"Audio Player, Inclination, Musical Keyboard"
Crea tu Propia Aventura Narrada,"Los estudiantes se convierten en directores de cine sonoro. Deben programar una historia donde, al girar el 'libro' (dispositivo), la narración cambie de escenario (bosque o castillo). Ellos mismos deben tocar el teclado para añadir los efectos especiales en los momentos de suspenso de la historia.",11,15,3,"Audio Player, Inclination, Musical Keyboard"
El Maestro Zen del Equilibrio,"¡Hora de relajarse! Los estudiantes programarán un asistente de meditación. El dispositivo se coloca sobre la espalda o la cabeza. Debe tocar música suave, pero si el estudiante se mueve y rompe la concentración (inclinación), el asistente debe tocar una nota suave para recordarle que se quede quieto como una estatua.",10,13,2,"Audio Player, Inclination, Musical Keyboard"
La Superestrella DJ del Futuro,"¿Listos para la fiesta? Los estudiantes crearán una controladora de DJ que no necesita manos para los efectos. Al mover el cuerpo (inclinando el dispositivo), aplicarán efectos al ritmo de fondo, y usarán el teclado para soltar los mejores 'beats' y animar al público virtual.",12,16,3,"Audio Player, Inclination, Musical Keyboard"
Capitán Aéreo: Misión Rescate,¡Mayday! Los estudiantes deben pilotar un avión en una tormenta. Inclinar el dispositivo controla el avión para mantenerlo nivelado contra el viento (sonido de fondo). Deben usar el teclado para enviar códigos morse (notas musicales) a la base y pedir permiso para aterrizar a salvo.,9,12,2,"Audio Player, Inclination, Musical Keyboard"
Cazadores de Temblores,"Construyamos un sismógrafo inteligente. Todo está tranquilo (música suave), pero si alguien golpea la mesa o mueve el dispositivo bruscamente, el sistema debe detectarlo. Al detectar el 'terremoto', la música debe detenerse y el teclado debe tocar notas graves de alerta máxima.",11,14,2,"Audio Player, Inclination, Musical Keyboard"
Academia de Magia: Clase de Encantamientos,"¡Wingardium Leviosa! Los estudiantes programan su varita. Si apuntan hacia arriba (inclinación positiva), preparan un hechizo de luz (música celestial). Si apuntan abajo, un hechizo de oscuridad. Deben pulsar el botón mágico (tecla) para liberar el poder con una nota musical que combine con el hechizo elegido.",8,11,1,"Audio Player, Inclination, Musical Keyboard"
El Ninja Silencioso,"El objetivo es cruzar la habitación sin ser detectado. Los estudiantes programan el dispositivo para que sea ultra sensible. Si mantienen el equilibrio perfecto, solo se oyen grillos. Si fallan y lo inclinan al caminar, ¡ZAS! suena una tecla de piano fuerte y pierden la partida. ¿Quién tiene el mejor pulso?",9,13,2,"Audio Player, Inclination, Musical Keyboard"
El Ladrón de Guante Blanco,"Los estudiantes deben programar una caja fuerte digital. Deben definir un 'número secreto' (un ángulo de inclinación). Sus compañeros deben girar el dispositivo lentamente escuchando el suspenso; cuando encuentren el ángulo exacto, el teclado debe hacer '¡Cling!' para indicar que la caja se abrió.",12,15,3,"Audio Player, Inclination, Musical Keyboard"
Pintando con Música,Imagina que el aire es tu lienzo. Los estudiantes crean una herramienta artística donde inclinar el dispositivo hacia la izquierda pone música triste (azul) y a la derecha música alegre (amarillo). Deben usar el teclado para poner los detalles finales a su obra de arte sonora improvisada.,10,14,2,"Audio Player, Inclination, Musical Keyboard"
Contacto Extraterrestre,"¡Hemos recibido una señal! Los estudiantes deben sintonizar la radio intergaláctica inclinando el dispositivo hasta que la estática (audio) desaparezca y se oiga una voz clara. Luego, deben usar el teclado como un traductor universal para responder con una melodía de paz a los visitantes.",11,15,3,"Audio Player, Inclination, Musical Keyboard"
El Creador de Tormentas,"¿Puedes controlar el clima? Los estudiantes programarán una nube portátil. Si el dispositivo está plano, hace sol. Al inclinarlo, empieza a llover (el teclado toca notas rápidas como gotas). Cuanto más lo inclinen, más fuerte llueve, hasta que el audio suelta un trueno enorme.",9,12,2,"Audio Player, Inclination, Musical Keyboard"
Escalando la Montaña Rítmica,"Los estudiantes deben crear una canción que sube y baja con ellos. Con una base de batería de fondo, deben programar el teclado para que toque notas más agudas cuanto más alto apunten con el dispositivo, y más graves al apuntar al suelo, aprendiendo sobre escalas musicales y variables.",12,16,3,"Audio Player, Inclination, Musical Keyboard"
Cuida a tu Robot-Mascota,"¡Tu mascota digital necesita cariño! Los estudiantes programan las emociones del robot. Si lo mecen suavemente (inclinación lenta), el audio ronronea. Pero cuidado, si lo ponen boca abajo, el robot se asusta y deben programar el teclado para que 'grite' pidiendo ayuda.",8,11,1,"Audio Player, Inclination, Musical Keyboard"
Pinball Humano Arcade,"Transforma tu clase en un salón de arcade. Los estudiantes diseñan la lógica de un Pinball. Tienen que mover la bola imaginaria inclinando el tablero. Deben programar que, al hacer un movimiento rápido a la derecha (golpear la bola), el teclado suene como un rebote y el audio celebre con sonidos de 8-bits.",10,14,2,"Audio Player, Inclination, Musical Keyboard"
Maestro de la Orquesta Digital,"¡Todos a sus puestos! El estudiante es el director. Debe programar el sistema para que la música (Audio Player) vaya más rápido si agita la batuta (dispositivo) rápidamente, y lento si lo hace suave. Con el teclado, dará la entrada a los tambores y platillos en el momento culminante.",13,16,3,"Audio Player, Inclination, Musical Keyboard"
Cazafantasmas: La Búsqueda Espectral,"Hay un fantasma invisible en la habitación. Los estudiantes crean un sensor paranormal. Deben girar el dispositivo buscando la señal. Cuando apunten a la dirección correcta (inclinación secreta), el ruido estático debe desaparecer y el teclado debe tocar la melodía de '¡Te encontré!'.",9,12,2,"Audio Player, Inclination, Musical Keyboard"
Patineta Sónica Pro,"¡A patinar con los dedos! Los estudiantes programan una patineta virtual. El sonido de rodar siempre está activo. El reto es detectar cuando se hace un truco (inclinación rápida hacia arriba y vuelta a plano). Si aterrizan el truco correctamente, el teclado debe tocar un acorde de rock triunfal.",10,13,2,"Audio Player, Inclination, Musical Keyboard"
La Trampa del Tesoro Pirata,"¡Protege tu cofre del tesoro! Programa el dispositivo para que actúe como un guardián. Si un ladrón intenta inclinar el cofre para abrirlo o hace demasiado ruido al acercarse, el sistema debe gritar una advertencia pirata o sonar una alarma para ahuyentarlo.",10,12,2,"Audio Player, Inclination, Noise Level"
El Maestro Zen del Equilibrio,"Crea una aplicación para practicar ser un monje Shaolin. Debes mantenerte en perfecto equilibrio (sin inclinar el dispositivo) y en silencio absoluto. Si logras mantener la paz, escucharás el viento soplar; si fallas, un gong te avisará.",11,14,2,"Audio Player, Inclination, Noise Level"
Superestrella DJ del Futuro,"¡Convierte tu tablet en una mesa de mezclas! Usa la inclinación para acelerar o desacelerar el ritmo de la música. Pide a tus amigos que griten y aplaudan; cuando el sensor detecte sus gritos, la app lanzará efectos especiales de fiesta.",12,15,3,"Audio Player, Inclination, Noise Level"
Simulador de Carreras Fórmula 1,"¡Arranca tus motores! Para encender tu coche de carreras, tienes que hacer ruido de motor con la boca. Luego, inclina el dispositivo hacia adelante para acelerar a fondo y escuchar cómo rugen los pistones en la pista.",9,11,1,"Audio Player, Inclination, Noise Level"
La Niñera Robótica Inteligente,"Diseña un robot que cuide a un bebé virtual. Si el bebé empieza a llorar (ruido alto), el robot debe cantar una nana. Pero cuidado, si meces la cuna demasiado fuerte (inclinación alta), la música debe parar para no marearlo.",10,13,2,"Audio Player, Inclination, Noise Level"
Escuela de Magia: Clase de Hechizos,"Aprende a lanzar el hechizo 'Leviosa'. Tienes que apuntar tu varita hacia arriba (inclinar) y gritar el nombre del hechizo al mismo tiempo. Solo si haces ambas cosas correctamente, escucharás el sonido de la magia funcionando.",8,11,1,"Audio Player, Inclination, Noise Level"
El Desafío del Camarero Torpe,"Eres un camarero en un restaurante muy elegante. Debes llevar la bandeja (tu dispositivo) totalmente plana. Si tus amigos hacen ruido para distraerte o si inclinas la mano, ¡CRASH!, escucharás cómo se rompe toda la vajilla.",9,12,2,"Audio Player, Inclination, Noise Level"
